"latitude","longitude","objeto"
10.764981,-71.533818,"Petroquimica"
10.493867,-68.155825,"Termoelectrica"
10.073188,-64.874199,"Petroquimica"
10.521666,-68.19978,"Petroquimica"
11.736974,-70.196185,"Refineria"
10.242171,-64.608097,"Refineria"
11.632998,-70.223232,"Refineria"
10.339428,-71.418722,"Refineria"
10.484205,-68.120807,"Refineria"
10.223707,-64.624765,"Refineria"
10.530887,-67.400897,"Atracadero"
10.538875,-67.342928,"Atracadero"
10.551087,-67.239137,"Atracadero"
10.586135,-67.082053,"Atracadero"
10.59008,-67.078037,"Puerto"
10.599683,-67.043849,"Atracadero"
10.611672,-67.028815,"Atracadero"
10.61491,-67.016045,"Atracadero"
10.610492,-67.001965,"Atracadero"
10.62132,-66.846093,"Atracadero"
10.510007,-71.640623,"Refineria"
11.75083,-70.172232,"Termoelectrica"
10.431812,-64.166153,"Termoelectrica"
10.587117,-67.081164,"Termoelectrica"
10.482682,-67.997685,"Puerto"
10.604064,-66.996205,"Aeropuerto"
10.603077,-66.944821,"Puerto"
10.462728,-66.091776,"Aeropuerto"
10.240731,-64.633606,"Puerto"
10.245986,-64.591746,"Puerto"
10.866351,-64.061175,"Puerto"
10.912408,-63.967525,"Aeropuerto"
10.794522,-63.983529,"Aeropuerto"
10.450063,-64.130924,"Aeropuerto"
10.10731,-64.689279,"Aeropuerto"
10.553661,-66.071847,"Refineria"
10.444296,-67.848233,"Puerto"
10.478986,-68.070175,"Aeropuerto"
11.415203,-69.681801,"Aeropuerto"
10.637988,-71.603784,"Puerto"
10.559731,-71.728025,"Aeropuerto"
10.67236,-71.595082,"Ciudad"
10.389934,-71.443351,"Ciudad"
10.202608,-71.305361,"Ciudad"
11.631872,-70.230403,"Ciudad"
11.41459,-69.652383,"Ciudad"
10.46582,-68.01425,"Ciudad"
10.596365,-66.97798,"Ciudad"
10.198348,-64.696211,"Ciudad"
10.464738,-64.118203,"Ciudad"
10.955147,-63.851108,"Ciudad"
11.078892,-63.961543,"Ciudad"
10.669564,-63.251743,"Ciudad"
10.57034,-62.293159,"Puerto"
10.576522,-62.293489,"Ciudad"
10.658556,-63.261422,"Aeropuerto"
10.054171,-65.035397,"Pueblo"
10.132501,-65.416947,"Pueblo"
10.48064,-66.103593,"Pueblo"
10.233341,-64.63234,"Ciudad"
10.612138,-66.852859,"Ciudad"
10.619034,-66.738151,"Pueblo"
10.312523,-65.989597,"Pueblo"
10.238589,-64.601699,"Pueblo"
10.282609,-64.418509,"Pueblo"
10.899291,-64.087701,"Pueblo"
10.892201,-64.061987,"Pueblo"
10.900433,-63.964716,"Pueblo"
10.94038,-63.925074,"Pueblo"
11.000816,-63.791971,"Pueblo"
11.107592,-63.845898,"Pueblo"
11.145892,-63.86692,"Pueblo"
11.118383,-63.927365,"Pueblo"
11.106325,-63.960203,"Pueblo"
10.996035,-64.021321,"Pueblo"
11.01079,-64.379044,"Pueblo"
10.96133,-64.179933,"Pueblo"
10.892235,-63.927984,"Pueblo"
10.959476,-64.153566,"Pueblo"
10.899523,-64.105515,"Pueblo"
10.976244,-63.820408,"Pueblo"
10.699935,-63.115621,"Ciudad"
10.715401,-63.158764,"Pueblo"
10.458736,-64.190111,"Ciudad"
10.143264,-64.71076,"Ciudad"
10.475141,-68.109549,"Pueblo"
10.500936,-68.177025,"Pueblo"
10.788686,-68.322885,"Pueblo"
10.929413,-68.270951,"Ciudad"
11.684626,-70.21498,"Ciudad"
11.490564,-69.346425,"Pueblo"
11.460874,-69.567729,"Pueblo"
10.550638,-71.62173,"Ciudad"
10.261967,-71.368749,"Pueblo"
10.408781,-71.690534,"Pueblo"
10.382046,-71.731278,"Pueblo"
10.789647,-71.678822,"Pueblo"
10.729159,-71.52415,"Pueblo"
10.961945,-71.735368,"Pueblo"
11.432152,-69.021402,"Pueblo"
10.966919,-71.73393,"Atracadero"
11.488466,-69.554732,"Atracadero"
10.927067,-68.267719,"Atracadero"
10.802045,-71.678483,"Puerto"
10.810708,-71.680972,"Puerto"
10.715656,-71.598857,"Atracadero"
10.692895,-71.594211,"Atracadero"
10.784974,-71.587567,"Atracadero"
10.779847,-71.570576,"Atracadero"
11.512344,-69.314333,"Aeropuerto"
10.795222,-71.564271,"Atracadero"
11.6264,-70.234137,"Puerto"
11.747783,-70.217075,"Puerto"
11.79488,-70.257746,"Puerto"
10.793562,-68.315267,"Atracadero"
10.495682,-68.124747,"Puerto"
10.486326,-68.038204,"Puerto"
10.477092,-68.011855,"Atracadero"
10.495779,-67.744704,"Atracadero"
10.510419,-67.605852,"Atracadero"
10.591273,-67.048825,"Ciudad"
10.576515,-67.103567,"Pueblo"
10.572285,-67.118932,"Pueblo"
10.56894,-67.135835,"Pueblo"
10.549556,-67.240121,"Pueblo"
10.53805,-67.342658,"Pueblo"
10.529261,-67.400672,"Pueblo"
10.531771,-67.474677,"Pueblo"
10.521212,-67.514784,"Pueblo"
10.518283,-67.545605,"Pueblo"
10.554751,-67.18461,"Pueblo"
10.508133,-67.60719,"Pueblo"
10.48611,-67.770288,"Ciudad"
10.491623,-67.739549,"Pueblo"
10.452282,-67.924262,"Pueblo"
10.683258,-68.296822,"Pueblo"
11.150007,-68.397377,"Pueblo"
11.171367,-68.412073,"Pueblo"
12.446752,-69.915917,"Ciudad"
12.117207,-68.928923,"Ciudad"
12.102991,-68.270688,"Ciudad"
10.346334,-64.33954,"Pueblo"
10.415973,-64.221111,"Pueblo"
10.575444,-64.258675,"Pueblo"
10.640301,-64.284406,"Pueblo"
10.642005,-64.285021,"Atracadero"
10.638196,-64.236646,"Pueblo"
10.615151,-64.137539,"Pueblo"
10.628591,-64.0141,"Pueblo"
10.625873,-63.532543,"Pueblo"
10.629168,-63.900996,"Pueblo"
10.676406,-63.820939,"Pueblo"
10.628815,-63.588318,"Pueblo"
10.642354,-63.49267,"Pueblo"
10.647547,-63.472363,"Pueblo"
10.66873,-63.403693,"Pueblo"
10.671114,-63.403191,"Atracadero"
10.682234,-63.36162,"Pueblo"
10.667744,-63.338034,"Pueblo"
10.673136,-63.313592,"Pueblo"
10.662198,-63.28261,"Pueblo"
10.660639,-61.523059,"Ciudad"
10.660262,-61.941769,"Pueblo"
10.603391,-62.273304,"Pueblo"
10.628269,-62.257779,"Pueblo"
10.42327,-61.484425,"Ciudad"
