"u.cm.s.mean","u.cm.s.sd","v.cm.s.mean","v.cm.s.sd","speed.cm.s.mean","speed.cm.s.sd","speed.cm.s.max","speed.cm.s.min","direction.deg.t.mean","direction.deg.t.sd","latitude","longitude"
-28.25,40.3949080949567,-7.118,30.1125923825897,46.092,30.7161182443355,87.45,9.77,230,88.6002257333467,10.65,-64.85
-11.705,10.1045559031558,3.83,4.28506709399048,12.345,10.9106576337084,20.06,4.63,285,7.07106781186548,10.65,-65.25
-14.5825,48.7502563241125,4.8075,19.7376465584595,38.4525,33.2994938650224,87.45,15.43,205,104.083299973307,10.65,-65.45
18.85,0,6.86,0,20.06,0,20.06,20.06,70,0,10.65,-65.55
-49.1,7.56642584051413,3.24666666666667,5.62339162190696,49.3833333333333,7.91793112708953,56.07,40.64,273.333333333333,5.77350269189626,10.65,-67.45
-6.19631578947368,14.6005278358959,1.91842105263158,4.61295328180173,10.2334210526316,13.0420810137522,51.44,0,120.526315789474,136.341133537051,10.65,-67.55
-11.762,7.50445667586935,4.29,5.0795570673042,13.064,8.0406081859521,25.72,4.63,282,25.8843582110896,10.65,-67.65
0,0,0,0,0,0,0,0,0,0,10.65,-68.05
-28.197619047619,35.3833183724707,37.3828571428571,34.7681772807919,56.8319047619048,37.0342235802302,133.24,4.63,271.904761904762,101.075172402477,10.75,-60.05
-19.0845454545455,13.9380137491942,24.7281818181818,19.1735499155382,32.1754545454545,22.2769914322542,77.17,0,262.727272727273,130.77392011337,10.75,-60.15
-41.3415789473684,35.8161719002833,47.3847368421053,31.2019027853575,72.4263157894737,29.8886569362073,128.61,36.01,289.473684210526,80.4483052932839,10.75,-60.25
-37.5360869565217,34.7802877476636,30.1817391304348,34.3188656906444,57.2365217391304,37.2557432556861,164.11,0,267.826086956522,95.6773233197316,10.75,-60.35
-19.2785714285714,33.6048428482733,42.1719047619048,23.9367204560373,57.1752380952381,22.9603886332631,102.89,0,252.857142857143,127.32410836691,10.75,-60.45
-25.1464285714286,31.1051370002159,32.22,24.4512349853273,53.0592857142857,18.2306902963469,92.08,30.87,242.142857142857,123.673177953245,10.75,-60.55
-30.1766666666667,26.5058365213583,46.6825,40.4385374533209,63.5741666666667,36.0495849070374,112.66,15.43,284.166666666667,90.2983271095754,10.75,-60.65
-43.735,27.7492517273632,33.9125,32.1465593582179,63.3425,26.8070820866427,87.45,20.06,292.5,49.7852531235046,10.75,-60.75
-25.8633333333333,39.2977204597586,38.93,26.246750275034,56.4166666666667,27.1279935368124,77.17,25.72,203.333333333333,167.431578064991,10.75,-60.85
-28.3925,22.7627361785294,28.025,22.5628566453807,45.0125,21.1575729153102,72.02,25.72,312.5,41.1298755975102,10.75,-60.95
-30.4,0,-5.36,0,30.87,0,30.87,30.87,260,0,10.75,-61.65
-39.65,0,22.89,0,45.79,0,45.79,45.79,300,0,10.75,-61.75
5.22428571428571,57.6899730909809,19.8414285714286,55.7354218394285,62.9814285714286,47.9384485316228,138.38,0,110,134.660065844828,10.75,-61.85
0,0,0,0,0,0,0,0,0,0,10.75,-61.95
33.07,0,39.41,0,51.44,0,51.44,51.44,40,0,10.75,-62.05
-39.68,0,47.29,0,61.73,0,61.73,61.73,320,0,10.75,-63.05
-47.065,1.8031222920257,8.795,12.4380082810714,48.615,3.99515331370399,51.44,45.79,280,14.142135623731,10.75,-64.35
-6.28,0,7.49,0,9.77,0,9.77,9.77,320,0,10.75,-64.85
-22.7,0,-62.36,0,66.36,0,66.36,66.36,200,0,10.75,-64.95
-12.9,0,-15.37,0,20.06,0,20.06,20.06,220,0,10.75,-65.05
-9.18,0,-3.34,0,9.77,0,9.77,9.77,250,0,10.75,-65.15
15.43,0,0,0,15.43,0,15.43,15.43,90,0,10.75,-65.35
-0.315000000000001,25.0245089861919,-20.61,14.9623794899073,28.035,11.2783531599254,36.01,20.06,165,63.6396103067893,10.75,-65.45
-19.76,0,3.48,0,20.06,0,20.06,20.06,280,0,10.75,-65.55
-19.76,0,3.48,0,20.06,0,20.06,20.06,280,0,10.75,-65.85
36.01,0,0,0,36.01,0,36.01,36.01,90,0,10.75,-65.95
-6.28,0,7.49,0,9.77,0,9.77,9.77,320,0,10.75,-66.25
0,0,40.64,0,40.64,0,40.64,40.64,360,0,10.75,-66.55
-19.18,0,-52.69,0,56.07,0,56.07,56.07,200,0,10.75,-66.75
30.87,0,0,0,30.87,0,30.87,30.87,90,0,10.75,-67.05
-21.865,12.7349931291697,11.14,15.7543390848363,28.295,3.64159992311072,30.87,25.72,300,42.4264068711929,10.75,-67.35
16.278,36.7691694222211,-3.278,23.5205892783323,36.626,23.9321359264066,66.36,9.77,228,108.949529599719,10.75,-67.45
-23.6971428571429,56.5326424415892,-2.62809523809524,20.8139180883964,37.38,52.5236233517833,241.27,0,231.904761904762,88.9167615030511,10.75,-67.55
-19.5584126984127,29.1844012249556,2.70761904761905,8.23727419569819,24.5034920634921,26.5633429298499,133.24,0,236.349206349206,95.2467353991656,10.75,-67.65
72.02,0,0,0,72.02,0,72.02,72.02,90,0,10.75,-67.75
-50.66,0,-8.93,0,51.44,0,51.44,51.44,260,0,10.75,-68.05
