"latitude","longitude","ChlorophyllaConcent.Mean","RemoteReflectance.Mean","SSTemperatureDay.Mean","SeaSaltColumnDensity.Mean","Confiable","Ecosystem"
10.6,-67.4,31.0963,0.5016,24.6276,12.1391,FALSE,"Playa Tiburon-La Pared-Petaquire-Media Legua-Punta Mono"
10.6,-67.5,31.5938,0.5129,24.5679,16.6467,TRUE,"Playa Tiburon-La Pared-Petaquire-Media Legua-Punta Mono"
10.6,-67.6,30.3288,0.4632,24.5701,16.6467,TRUE,"Playa Tiburon-La Pared-Petaquire-Media Legua-Punta Mono"
10.6,-67.7,33.6898,0.4594,24.5701,16.6467,TRUE,"Playa Tiburon-La Pared-Petaquire-Media Legua-Punta Mono"
10.6,-67.8,41.5592,0.4809,24.6307,16.6467,TRUE,"Playa Tiburon-La Pared-Petaquire-Media Legua-Punta Mono"
10.6,-68.1,242.0021,0.3119,25.2476,41.8899,TRUE,"Norte-Rabuski-Medio"
10.6,-68.2,496.114,0.1346,25.8452,41.8899,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.6,-68.2,496.114,0.1346,25.8452,41.8899,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.6,-68.3,355.1897,-0.2438,26.1967,41.8899,FALSE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.7,-62.3,418.6699,0.0651,25.1231,34.677,TRUE,"Norte-Rabuski-Medio"
10.7,-62.4,289.5104,0.0782,24.3502,34.677,TRUE,"Cominoto-La Pecha"
10.7,-62.5,286.803,0.0774,23.8986,33.7755,TRUE,"Cominoto-La Pecha"
10.7,-62.6,278.5932,0.0882,23.7751,33.7755,TRUE,"Cominoto-La Pecha"
10.7,-62.6,278.5932,0.0882,23.7751,33.7755,TRUE,"Cominoto-La Pecha"
10.7,-62.7,257.7037,0.0975,24.3427,33.7755,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.7,-62.7,257.7037,0.0975,24.3427,33.7755,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.7,-62.8,313.8871,0.0858,24.0371,33.7755,TRUE,"Cominoto-La Pecha"
10.7,-62.8,313.8871,0.0858,24.0371,33.7755,TRUE,"Cominoto-La Pecha"
10.7,-62.9,611.6781,0.085,23.8746,33.7755,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.7,-62.9,611.6781,0.085,23.8746,33.7755,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.7,-63,367.865,0.0791,24.7011,33.7755,TRUE,"San Agustin-Carabela"
10.7,-63,367.865,0.0791,24.7011,33.7755,TRUE,"San Agustin-Carabela"
10.7,-63.1,496.6546,0.05,25.1171,31.0955,TRUE,"Norte-Rabuski-Medio"
10.7,-63.1,496.6546,0.05,25.1171,31.0955,TRUE,"Norte-Rabuski-Medio"
10.7,-63.2,990.9002,-0.0891,22.5624,29.268,FALSE,"Cominoto-La Pecha"
10.7,-63.2,990.9002,-0.0891,22.5624,29.268,FALSE,"Cominoto-La Pecha"
10.7,-63.3,817.7113,0.0364,22.8395,29.268,TRUE,"Cominoto-La Pecha"
10.7,-63.3,817.7113,0.0364,22.8395,29.268,TRUE,"Cominoto-La Pecha"
10.7,-63.4,874.1237,0.0827,22.9031,29.268,FALSE,"San Agustin-Carabela"
10.7,-63.4,874.1237,0.0827,22.9031,29.268,FALSE,"San Agustin-Carabela"
10.7,-63.5,718.1669,0.0968,22.657,29.268,FALSE,"San Agustin-Carabela"
10.7,-63.5,718.1669,0.0968,22.657,29.268,FALSE,"San Agustin-Carabela"
10.7,-63.6,667.6751,0.0959,22.7623,29.268,FALSE,"San Agustin-Carabela"
10.7,-63.6,667.6751,0.0959,22.7623,29.268,FALSE,"San Agustin-Carabela"
10.7,-63.7,524.3839,0.0258,22.8886,29.268,TRUE,"Cominoto-La Pecha"
10.7,-63.7,524.3839,0.0258,22.8886,29.268,TRUE,"Cominoto-La Pecha"
10.7,-63.8,446.6738,0.1341,22.9616,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.7,-63.8,446.6738,0.1341,22.9616,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.7,-63.9,572.0858,0.1,22.9257,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.7,-63.9,572.0858,0.1,22.9257,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.7,-64,923.3961,0.0138,22.8441,25.6621,FALSE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.7,-64,923.3961,0.0138,22.8441,25.6621,FALSE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.7,-64.1,833.0118,0.08,22.9971,25.6621,FALSE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.7,-64.1,833.0118,0.08,22.9971,25.6621,FALSE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.7,-64.2,689.8526,0.1273,23.0776,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.7,-64.2,689.8526,0.1273,23.0776,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.7,-64.3,491.0655,0.1878,23.2499,25.6621,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.7,-64.3,491.0655,0.1878,23.2499,25.6621,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.7,-66.3,236.301,0.25,23.4119,31.973,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.7,-66.4,224.798,0.19,23.52,31.973,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.7,-66.5,199.1689,0.2141,23.5064,31.973,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
