"latitude","longitude","InsularCoast","Laguna.d","Puerto.d","Rio.d","Afluente.Seco.d","Petroleo.d","Poblado.d","AbsorCoeffPhytoplank.Q3","AbsorCoeffNonAlgalMat.Median","ChlorophyllaConcent.Mean","PhotosyntheticRadiation.Q3","RemoteReflectance.Mean","SSTemperatureDay.Mean","SSTemperatureNight.Mean","SSTemperatureNight.Kurtosis","SeaLevelPreassure.Skewness","SeaSaltColumnDensity.Mean","SeaSaltColumnDensity.Sd","TwoMAirTemperature.Mean","SeaSaltConcentration.Mean","CarbonDioxide.Q1","CarbonDioxide.Skewness","MethaneNight.Median","MethaneNight.Q3","MethaneDay.Kurtosis","IncidentShortwave.Max","IncommingShortwave.Max","speed.cm.s.min"
10.4,-64.2,"Continental",12.032,20.806,7.891,18.018,5.12,2.913,15.9977,50.2284,385.4844,55.4868,0.0699,27.14,21.9363,26.3092,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8205,1.8253,12.6578,2.88,2.879,8.727
10.4,-64.3,"Continental",21.313,19.937,14.148,22.26,15.059,7.37,7.943,15.85,811.8306,51.5838,0.075,23.6966,22.6825,0.745,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8205,1.8253,12.6578,2.88,2.879,5.0737
10.4,-64.3,"Insular",21.313,19.937,14.148,22.26,15.059,7.37,7.943,15.85,811.8306,51.5838,0.075,23.6966,22.6825,0.745,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8205,1.8253,12.6578,2.88,2.879,5.0737
10.4,-64.4,"Insular",31.669,24.519,12.694,30.09,25.818,8.907,31.62,31.62,382.5892,52.9596,0.2286,23.3173,22.7558,0.3802,0.2341,27.7848,21.0388,2.9877,43.1295,3.975,-3.8941,1.8205,1.8253,12.6578,2.88,2.879,3.5307
10.4,-64.4,"Continental",31.669,24.519,12.694,30.09,25.818,8.907,31.62,31.62,382.5892,52.9596,0.2286,23.3173,22.7558,0.3802,0.2341,27.7848,21.0388,2.9877,43.1295,3.975,-3.8941,1.8205,1.8253,12.6578,2.88,2.879,3.5307
10.5,-63.7,"Continental",2.062,53.502,5.99,22.262,51.532,2.806,55.23,63.1,945.0549,48.0543,-0.0022,25.7825,22.2214,5.5074,-0.3177,29.268,15.9879,2.9869,42.5081,3.971,-1.7063,1.8227,1.8284,30.0873,2.88,2.879,12.6
10.5,-63.8,"Insular",11.262,49.738,16.892,13.033,40.749,3.733,55.23,63.1,1065.4405,51.5838,-0.0278,23.1334,22.5265,1.7547,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8227,1.8284,30.0873,2.88,2.879,15.8416
10.5,-63.8,"Continental",11.262,49.738,16.892,13.033,40.749,3.733,55.23,63.1,1065.4405,51.5838,-0.0278,23.1334,22.5265,1.7547,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8227,1.8284,30.0873,2.88,2.879,15.8416
10.5,-63.9,"Insular",19.044,40.764,22.21,6.165,30.074,5.677,56.9929,63.1,687.3219,52.7461,0.0561,23.337,22.7729,0.3426,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8227,1.8284,30.0873,2.88,2.879,26.1859
10.5,-63.9,"Continental",19.044,40.764,22.21,6.165,30.074,5.677,56.9929,63.1,687.3219,52.7461,0.0561,23.337,22.7729,0.3426,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8227,1.8284,30.0873,2.88,2.879,26.1859
