"latitude","longitude"
11.25,-70.69
11.25,-70.67
11.25,-70.66
11.25,-70.65
11.25,-70.64
11.25,-70.62
11.25,-70.61
11.25,-70.6
11.25,-70.59
11.25,-70.57
11.25,-70.56
11.25,-70.55
11.26,-70.53
11.25,-70.53
11.27,-70.52
11.26,-70.52
11.27,-70.51
11.28,-70.5
11.27,-70.5
11.3,-70.48
11.28,-70.48
11.3,-70.47
11.3,-70.46
11.3,-70.45
11.3,-70.43
11.3,-70.42
11.3,-70.41
11.3,-70.39
11.31,-70.38
11.3,-70.38
11.32,-70.37
11.31,-70.37
11.32,-70.36
11.32,-70.34
11.32,-70.33
11.34,-70.32
11.32,-70.32
11.35,-70.31
11.34,-70.31
11.95,-70.29
11.93,-70.29
11.92,-70.29
11.91,-70.29
11.89,-70.29
11.88,-70.29
11.87,-70.29
11.86,-70.29
11.35,-70.29
11.96,-70.28
11.95,-70.28
11.86,-70.28
11.84,-70.28
11.83,-70.28
11.36,-70.28
11.35,-70.28
11.98,-70.27
11.97,-70.27
11.96,-70.27
11.83,-70.27
11.82,-70.27
11.36,-70.27
12,-70.25
11.98,-70.25
11.82,-70.25
11.81,-70.25
11.79,-70.25
11.36,-70.25
12.02,-70.24
12.01,-70.24
12,-70.24
11.79,-70.24
11.78,-70.24
11.36,-70.24
12.05,-70.23
12.04,-70.23
12.02,-70.23
11.78,-70.23
11.77,-70.23
11.65,-70.23
11.64,-70.23
11.37,-70.23
11.36,-70.23
12.09,-70.22
12.07,-70.22
12.06,-70.22
12.05,-70.22
11.77,-70.22
11.76,-70.22
11.74,-70.22
11.68,-70.22
11.67,-70.22
11.65,-70.22
11.63,-70.22
11.62,-70.22
11.37,-70.22
12.1,-70.2
12.09,-70.2
11.74,-70.2
11.73,-70.2
11.72,-70.2
11.7,-70.2
11.69,-70.2
11.68,-70.2
11.62,-70.2
11.37,-70.2
12.11,-70.19
11.62,-70.19
11.39,-70.19
11.37,-70.19
12.11,-70.18
11.63,-70.18
11.62,-70.18
11.4,-70.18
11.39,-70.18
12.11,-70.17
11.63,-70.17
11.41,-70.17
11.4,-70.17
12.11,-70.15
11.63,-70.15
11.42,-70.15
11.41,-70.15
12.11,-70.14
11.63,-70.14
11.47,-70.14
11.46,-70.14
11.45,-70.14
11.44,-70.14
11.42,-70.14
12.12,-70.13
12.11,-70.13
11.63,-70.13
11.47,-70.13
11.46,-70.13
12.14,-70.11
12.12,-70.11
11.64,-70.11
11.56,-70.11
11.55,-70.11
11.54,-70.11
11.53,-70.11
11.46,-70.11
12.15,-70.1
11.64,-70.1
11.56,-70.1
11.53,-70.1
11.51,-70.1
11.46,-70.1
12.16,-70.09
11.64,-70.09
11.56,-70.09
11.51,-70.09
11.46,-70.09
12.18,-70.08
12.16,-70.08
11.64,-70.08
11.55,-70.08
11.5,-70.08
11.47,-70.08
11.46,-70.08
12.18,-70.06
11.65,-70.06
11.55,-70.06
11.49,-70.06
11.47,-70.06
12.19,-70.05
11.65,-70.05
11.54,-70.05
12.19,-70.04
11.67,-70.04
11.65,-70.04
11.54,-70.04
12.19,-70.03
11.67,-70.03
11.55,-70.03
11.54,-70.03
12.19,-70.01
11.67,-70.01
11.55,-70.01
12.19,-70
11.67,-70
11.56,-70
11.55,-70
12.19,-69.99
11.67,-69.99
11.56,-69.99
12.19,-69.98
11.67,-69.98
11.65,-69.98
11.58,-69.98
11.56,-69.98
12.19,-69.96
12.18,-69.96
11.65,-69.96
11.64,-69.96
11.63,-69.96
11.62,-69.96
11.6,-69.96
11.59,-69.96
11.58,-69.96
12.18,-69.95
12.18,-69.94
12.16,-69.92
12.16,-69.91
12.15,-69.91
12.15,-69.9
12.14,-69.9
12.14,-69.89
12.12,-69.89
12.12,-69.87
12.11,-69.87
12.1,-69.87
12.1,-69.86
12.09,-69.86
12.07,-69.86
12.06,-69.86
12.06,-69.85
12.05,-69.85
12.04,-69.85
12.02,-69.85
12.02,-69.84
12.01,-69.84
12,-69.84
12,-69.82
11.98,-69.82
11.97,-69.82
11.97,-69.81
11.96,-69.81
11.95,-69.81
11.93,-69.81
11.92,-69.81
11.91,-69.81
11.89,-69.81
11.88,-69.81
11.87,-69.81
11.86,-69.81
11.84,-69.81
11.83,-69.81
11.82,-69.81
11.81,-69.81
11.79,-69.81
11.79,-69.8
11.78,-69.8
11.78,-69.78
11.77,-69.78
11.76,-69.78
11.76,-69.77
11.74,-69.77
11.73,-69.77
11.73,-69.76
11.72,-69.76
11.7,-69.76
11.69,-69.76
11.68,-69.76
11.68,-69.75
11.67,-69.75
11.65,-69.75
11.64,-69.75
11.64,-69.73
11.63,-69.73
11.62,-69.73
11.6,-69.73
11.6,-69.72
11.59,-69.72
11.58,-69.71
11.58,-69.7
11.56,-69.7
11.55,-69.68
11.54,-69.68
11.54,-69.67
11.53,-69.67
11.51,-69.67
11.51,-69.66
11.5,-69.66
11.49,-69.66
11.49,-69.64
11.47,-69.64
11.47,-69.63
11.46,-69.63
11.46,-69.62
11.46,-69.61
11.46,-69.59
11.46,-69.58
11.46,-69.57
11.47,-69.56
11.46,-69.56
11.5,-69.54
11.49,-69.54
11.5,-69.53
11.5,-69.52
11.5,-69.5
11.5,-69.49
11.5,-69.48
11.5,-69.47
11.5,-69.45
11.5,-69.44
11.5,-69.43
11.5,-69.42
11.49,-69.42
11.49,-69.4
11.49,-69.39
11.49,-69.38
11.49,-69.37
11.5,-69.35
11.49,-69.35
11.5,-69.34
11.51,-69.33
11.5,-69.33
11.53,-69.31
11.51,-69.31
11.53,-69.3
11.54,-69.29
11.53,-69.29
11.54,-69.28
11.54,-69.26
11.54,-69.25
11.53,-69.25
11.53,-69.24
11.51,-69.23
11.51,-69.21
11.51,-69.2
11.51,-69.19
11.5,-69.17
11.5,-69.16
11.5,-69.15
11.5,-69.14
11.5,-69.12
11.49,-69.12
11.49,-69.11
11.49,-69.1
11.47,-69.1
11.47,-69.09
11.47,-69.07
11.47,-69.06
11.46,-69.06
11.46,-69.05
11.45,-69.03
11.45,-69.02
11.45,-69.01
11.45,-69
11.45,-68.98
11.45,-68.97
11.45,-68.96
