"latitude","longitude","speed.m.s.mean","direction.deg.t.mean"
11.62,-71.65,0.4,252.057416267943
11.62,-71.67,0.4,252.200956937799
11.62,-71.68,0.4,252.344497607656
11.61,-71.68,0.4,252.488038277512
11.61,-71.67,0.4,252.631578947368
11.59,-71.67,0.4,252.775119617225
11.58,-71.67,0.4,252.918660287081
11.57,-71.67,0.4,253.062200956938
11.55,-71.65,0.4,253.205741626794
11.55,-71.64,0.4,253.349282296651
11.55,-71.63,0.4,253.492822966507
11.57,-71.64,0.4,253.636363636364
11.57,-71.65,0.4,253.77990430622
11.58,-71.65,0.4,253.923444976077
11.58,-71.64,0.4,254.066985645933
11.59,-71.64,0.4,254.210526315789
11.59,-71.65,0.4,254.354066985646
11.61,-71.69,0.4,254.497607655502
11.59,-71.68,0.4,254.641148325359
11.59,-71.69,0.4,254.784688995215
11.58,-71.68,0.4,254.928229665072
11.57,-71.68,0.4,255.071770334928
11.55,-71.68,0.4,255.215311004785
11.55,-71.67,0.4,255.358851674641
11.59,-71.7,0.4,255.502392344498
11.58,-71.7,0.4,255.645933014354
11.58,-71.69,0.4,255.789473684211
11.57,-71.69,0.4,255.933014354067
11.57,-71.7,0.4,256.076555023923
11.58,-71.72,0.3,256.22009569378
11.55,-71.69,0.4,256.363636363636
11.57,-71.72,0.3,256.507177033493
11.57,-71.73,0.3,256.650717703349
11.57,-71.74,0.3,256.794258373206
11.57,-71.75,0.3,256.937799043062
11.58,-71.75,0.3,257.081339712919
11.58,-71.74,0.3,257.224880382775
11.58,-71.73,0.3,257.368421052632
11.59,-71.73,0.3,257.511961722488
11.59,-71.74,0.3,257.655502392344
11.59,-71.75,0.3,257.799043062201
11.59,-71.77,0.3,257.942583732057
11.58,-71.77,0.3,258.086124401914
11.58,-71.78,0.3,258.22966507177
11.57,-71.78,0.3,258.373205741627
11.57,-71.77,0.3,258.516746411483
11.55,-71.77,0.3,258.66028708134
11.54,-71.77,0.3,258.803827751196
11.53,-71.77,0.3,258.947368421053
11.61,-71.78,0.3,259.090909090909
11.61,-71.77,0.3,259.234449760766
11.55,-71.75,0.3,259.377990430622
11.55,-71.74,0.3,259.521531100478
11.55,-71.73,0.3,259.665071770335
11.54,-71.74,0.3,259.808612440191
11.54,-71.75,0.3,259.952153110048
11.53,-71.75,0.3,260.095693779904
11.61,-71.79,0.3,260.239234449761
11.58,-71.79,0.3,260.382775119617
11.57,-71.79,0.3,260.526315789474
11.55,-71.78,0.3,260.66985645933
11.54,-71.78,0.3,260.813397129187
11.53,-71.78,0.3,260.956937799043
11.55,-71.79,0.3,261.100478468899
11.54,-71.79,0.3,261.244019138756
11.53,-71.79,0.3,261.387559808612
11.54,-71.81,0.3,261.531100478469
11.54,-71.82,0.2,261.674641148325
11.55,-71.82,0.2,261.818181818182
11.55,-71.81,0.3,261.961722488038
11.57,-71.81,0.3,262.105263157895
11.57,-71.82,0.2,262.248803827751
11.58,-71.82,0.2,262.392344497608
11.59,-71.81,0.3,262.535885167464
11.61,-71.81,0.3,262.679425837321
11.53,-71.82,0.2,262.822966507177
11.54,-71.83,0.2,262.966507177033
11.55,-71.83,0.2,263.11004784689
11.57,-71.83,0.2,263.253588516746
11.58,-71.83,0.2,263.397129186603
11.53,-71.83,0.2,263.540669856459
11.57,-71.84,0.2,263.684210526316
11.58,-71.84,0.2,263.827751196172
11.54,-71.84,0.2,263.971291866029
11.55,-71.84,0.2,264.114832535885
11.53,-71.84,0.2,264.258373205742
11.53,-71.86,0.2,264.401913875598
11.54,-71.86,0.2,264.545454545455
11.55,-71.86,0.2,264.688995215311
11.57,-71.87,0.2,264.832535885167
11.57,-71.86,0.2,264.976076555024
11.58,-71.86,0.2,265.11961722488
11.58,-71.87,0.2,265.263157894737
11.59,-71.87,0.2,265.406698564593
11.59,-71.86,0.2,265.55023923445
11.61,-71.86,0.2,265.693779904306
11.61,-71.87,0.2,265.837320574163
11.54,-71.87,0.2,265.980861244019
11.55,-71.87,0.2,266.124401913876
11.55,-71.88,0.2,266.267942583732
11.57,-71.89,0.2,266.411483253589
11.57,-71.88,0.2,266.555023923445
11.58,-71.88,0.2,266.698564593301
11.58,-71.89,0.2,266.842105263158
11.59,-71.89,0.2,266.985645933014
11.54,-71.89,0.2,267.129186602871
11.54,-71.88,0.2,267.272727272727
11.55,-71.89,0.2,267.416267942584
11.55,-71.91,0.2,267.55980861244
11.57,-71.91,0.2,267.703349282297
11.57,-71.94,0.2,267.846889952153
11.55,-71.92,0.2,267.99043062201
11.55,-71.93,0.2,268.133971291866
11.55,-71.94,0.2,268.277511961722
11.55,-71.96,0.2,268.421052631579
11.54,-71.91,0.2,268.564593301435
11.54,-71.94,0.2,268.708133971292
11.54,-71.93,0.2,268.851674641148
11.54,-71.92,0.2,268.995215311005
11.54,-71.97,0.2,269.138755980861
11.54,-71.96,0.2,269.282296650718
11.53,-71.87,0.2,269.425837320574
11.53,-71.88,0.2,269.569377990431
11.53,-71.89,0.2,269.712918660287
11.53,-71.91,0.2,269.856459330144
11.53,-71.92,0.2,270
11.53,-71.93,0.2,270
11.53,-71.94,0.2,269.72972972973
11.52,-71.94,0.2,269.459459459459
11.52,-71.93,0.2,269.189189189189
11.52,-71.92,0.2,268.918918918919
11.52,-71.91,0.2,268.648648648649
11.52,-71.89,0.2,268.378378378378
11.52,-71.88,0.2,268.108108108108
11.52,-71.97,0.2,267.837837837838
11.52,-71.96,0.2,267.567567567568
11.53,-71.96,0.2,267.297297297297
11.53,-71.97,0.2,267.027027027027
11.5,-71.97,0.2,266.756756756757
11.5,-71.92,0.2,266.486486486487
11.5,-71.93,0.2,266.216216216216
11.5,-71.94,0.2,265.945945945946
11.49,-71.94,0.2,265.675675675676
11.49,-71.93,0.2,265.405405405405
11.48,-71.93,0.2,265.135135135135
11.48,-71.94,0.2,264.864864864865
11.48,-71.96,0.2,264.594594594595
11.48,-71.97,0.2,264.324324324324
11.49,-71.97,0.2,264.054054054054
11.49,-71.96,0.2,263.783783783784
11.5,-71.96,0.2,263.513513513513
11.46,-71.93,0.2,263.243243243243
11.46,-71.94,0.2,262.972972972973
11.45,-71.94,0.2,262.702702702703
11.45,-71.93,0.2,262.432432432432
11.46,-71.97,0.2,262.162162162162
11.46,-71.96,0.2,261.891891891892
11.44,-71.93,0.2,261.621621621622
11.44,-71.94,0.2,261.351351351351
11.45,-71.96,0.2,261.081081081081
11.45,-71.97,0.2,260.810810810811
11.43,-71.96,0.2,260.540540540541
11.44,-71.97,0.2,260.27027027027
11.44,-71.96,0.2,260
11.43,-71.97,0.2,259.72972972973
11.43,-71.94,0.2,259.459459459459
11.43,-71.93,0.2,259.189189189189
11.41,-71.94,0.2,258.918918918919
11.41,-71.97,0.2,258.648648648649
11.41,-71.96,0.2,258.378378378378
11.4,-71.96,0.2,258.108108108108
11.4,-71.97,0.2,257.837837837838
11.4,-71.94,0.2,257.567567567568
11.4,-71.93,0.2,257.297297297297
11.39,-71.93,0.2,257.027027027027
11.39,-71.94,0.2,256.756756756757
11.38,-71.94,0.2,256.486486486487
11.38,-71.93,0.2,256.216216216216
11.38,-71.92,0.2,255.945945945946
11.38,-71.96,0.2,255.675675675676
11.39,-71.96,0.2,255.405405405405
11.36,-71.94,0.2,255.135135135135
11.36,-71.92,0.2,254.864864864865
11.36,-71.91,0.2,254.594594594595
11.36,-71.93,0.2,254.324324324324
11.35,-71.93,0.2,254.054054054054
11.35,-71.94,0.2,253.783783783784
11.35,-71.92,0.2,253.513513513514
11.34,-71.93,0.2,253.243243243243
11.33,-71.94,0.2,252.972972972973
11.35,-71.91,0.2,252.702702702703
11.34,-71.92,0.2,252.432432432432
11.34,-71.91,0.2,252.162162162162
11.33,-71.91,0.2,251.891891891892
11.33,-71.92,0.2,251.621621621622
11.33,-71.88,0.2,251.351351351351
11.33,-71.89,0.2,251.081081081081
11.34,-71.89,0.2,250.810810810811
11.34,-71.88,0.2,250.540540540541
11.34,-71.87,0.2,250.27027027027
11.35,-71.88,0.2,250
11.35,-71.89,0.2,249.72972972973
11.31,-71.93,0.2,249.459459459459
11.3,-71.93,0.2,249.189189189189
11.3,-71.92,0.2,248.918918918919
11.29,-71.92,0.2,248.648648648649
11.29,-71.93,0.2,248.378378378378
11.31,-71.91,0.2,248.108108108108
11.3,-71.91,0.2,247.837837837838
11.29,-71.91,0.2,247.567567567568
11.29,-71.88,0.2,247.297297297297
11.29,-71.89,0.2,247.027027027027
11.3,-71.89,0.2,246.756756756757
11.3,-71.88,0.2,246.486486486486
11.3,-71.87,0.2,246.216216216216
11.31,-71.87,0.2,245.945945945946
11.31,-71.86,0.2,245.675675675676
11.31,-71.84,0.2,245.405405405405
11.28,-71.92,0.2,245.135135135135
11.28,-71.91,0.2,244.864864864865
11.28,-71.89,0.2,244.594594594595
11.33,-71.86,0.2,244.324324324324
11.33,-71.87,0.2,244.054054054054
11.31,-71.89,0.2,243.783783783784
11.31,-71.88,0.2,243.513513513514
11.28,-71.88,0.2,243.243243243243
11.28,-71.87,0.2,242.972972972973
11.28,-71.86,0.1,242.702702702703
11.29,-71.86,0.2,242.432432432432
11.29,-71.87,0.2,242.162162162162
11.31,-71.83,0.2,241.891891891892
11.3,-71.83,0.2,241.621621621622
11.3,-71.84,0.2,241.351351351351
11.29,-71.84,0.2,241.081081081081
11.29,-71.83,0.2,240.810810810811
11.26,-71.89,0.1,240.540540540541
11.28,-71.83,0.1,240.27027027027
11.28,-71.84,0.1,240
11.26,-71.84,0.1,239.72972972973
