"Locality","Site","InsularCoast","Position","Acropora.cervicornis","Acropora.palmata","Madracis.mirabilis","Madracis.sp","Oculina.diffusa","Porites.porites","Porites.sp","Agaricia.sp","Dichocoenia.stokesii","Meandrina.meandrites","Porites.astreoides","Pseudodiploria.clivosa","Pseudodiploria.strigosa","Other.Scleractinian.plate","Agaricia.agaricites.danai","Agaricia.tenuifolia","Other.Scleractinian.foliose","Agaricia.agaricites.agaricites","Agaricia.humilis","Colpophyllia.natans","Diploria.labyrinthiformis","Isophyllia.sp","Meandrina.sp","Montastrea.cavernosa","Orbicella.annularis","Orbicella.faveolata","Orbicella.franksi","Orbicella.sp","Porites.branneri","Siderastrea.radians","Siderastrea.siderea","Siderastrea.sp","Solenastrea.sp","Stephanocoenia.intersepta","Other.Scleractinian.massive","Dendrogyra.cylindrus","Mussa.angulosa","Other.Scleractinian.solitary.other","Madracis.decactis","Other.Scleractinian.encrusting","Eusmilia.fastigata","Other.Scleractinian.flower.cup","Pseudodiploria.sp","latitude","longitude"
"Morrocoy","Boca Seca","Continental","West",0,0,0,0,0,1.5625,0,1.5625,0,0,18.2291666666667,0,5.20833333333333,0,0,0,0,0,18.75,12.5,0,0,0,0,0,33.8541666666667,0,0,0,0,0,0,8.33333333333333,0,0,0,0,0,0,0,0,0,0,10.834,-68.237
"Morrocoy","Medio","Continental","West",0,0,0,11.9565217391304,0,0,0,4.19377811094454,0,0,0,0,0.166666666666667,0.166666666666667,2.1231884057971,1.8595041322314,0,0,0.599575212393803,0.619834710743802,0,0,0,0,0,78.1076527851776,0,0,0,0,0,0,0,0,0,0,0,0,0.206611570247934,0,0,0,0,10.742,-68.236
"Morrocoy","Mero","Continental","West",0,0,1.38888888888889,0,0,11.3888888888889,0,0,0,0,25.5448717948718,0,0.694444444444445,0,0,0,0,1.92307692307692,1.92307692307692,19.1239316239316,0,0,0,0,0,6.38888888888889,0,0,0,0,5.92948717948718,0,0,0,0,0,0,0,0.694444444444445,0,0,0,0,10.82,-68.248
"Morrocoy","Norte","Continental","West",0,2.42276987157237,0,0,0,0,0,0.8711358570001,0,0,0.164473684210526,0,0,0,3.1079466322089,0,0,0,0.64218288005805,2.07874530060216,0,0,0,0,1.86856415596436,85.0716161467334,0,3.77256547165014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78,-68.201
"Morrocoy","Sombrero","Continental","West",0,0,0,0,0,0,0,1.20722958057395,0,0,5.20094213181962,0,3.90751471670345,0,2.3015873015873,0,0,0,0.165562913907285,45.4734310942921,0,0,0,2.81746031746032,0,34.6417730999685,0,0.165562913907285,0,0,0.165562913907285,0,0,2.34375,0.260416666666668,0,0,0,0.357142857142857,0.277777777777778,0.714285714285715,0,0,10.889,-68.215
"Morrocoy","Sur","Continental","West",0,0,0,0,0,0,0,0.225225225225225,0,0,0.420537725225225,0,0.733150337837837,0,0,1.5625,0,0,0.3953125,15.2783502252252,0,0,0,0,2.02702702702703,78.4822212837838,0,0,0,0,0,0,0,0.45045045045045,0.225225225225225,0,0,0,0,0.2,0,0,0,10.729,-68.244
"Ocumare","Cienaga este","Continental","Center",0,0,1.08695652173913,0,0,0,0,0,0,0.471698113207548,9.24886751555889,0,0.454545454545455,0,0,0,0,0,0,0,0,0,0,1.88679245283019,13.6746143057503,69.7416155254415,0,2.17391304347826,0,0,0.806451612903225,0,0,0,0.454545454545455,0,0,0,0,0,0,0,0,10.487,-67.804
"Ocumare","Cienaga interno","Continental","Center",0,0,0,0,0,0,0,0,0,0,6.81171427542235,0,5.58044558913583,0,0,0.36764705882353,0,0.352112676056338,0.271739130434782,33.9261914196175,1.25,0,0,9.35782212456322,0,38.8470336082994,0,0,0,0.36764705882353,2.5,0,0,0,0.36764705882353,0,0,0,0,0,0,0,0,10.475,-67.809
"Ocumare","Cienaga oeste","Continental","Center",0,0,0,0,0,0,0,0,0,0,3.56787820023114,0,3.94862490450726,0,0,0,0,0.36764705882353,0.324675324675325,44.4421999569059,0,0,0,10.6808632543927,0,24.5835047305635,0,0,0,0,7.56302521008403,0.36764705882353,0,0,0,3.41864018334607,0,0,0.73529411764706,0,0,0,0,10.478,-67.809
"Ocumare","Guabinitas","Continental","Center",0,0,0,0,0,0,0,0,0,0,8.49673202614379,0,20.9150326797386,0,0,0,0,0,4.16666666666667,4.16666666666667,0,0,0,20.5678104575163,0,5.20833333333333,0,0,0,0,36.4787581699346,0,0,0,0,0,0,0,0,0,0,0,0,10.484,-67.825
